url_code,url,annotation
B0007YCC7S,http://www.amazon.com/dp/B0007YCC7S,0
B081BCHH9V,http://www.amazon.com/dp/B081BCHH9V,1
B06ZZXF81G,http://www.amazon.com/dp/B06ZZXF81G,0
B016GB49AS,http://www.amazon.com/dp/B016GB49AS,0
B07KRK61ZH,http://www.amazon.com/dp/B07KRK61ZH,5
B007AW2CLG,http://www.amazon.com/dp/B007AW2CLG,1
159496081X,http://www.amazon.com/dp/159496081X,5
B014OZIJPY,http://www.amazon.com/dp/B014OZIJPY,5
099845270X,http://www.amazon.com/dp/099845270X,5
B088C455SQ,http://www.amazon.com/dp/B088C455SQ,0
B00CDJXQ52,http://www.amazon.com/dp/B00CDJXQ52,1
1706814410,http://www.amazon.com/dp/1706814410,0
1628736852,http://www.amazon.com/dp/1628736852,5
B07H52QDHY,http://www.amazon.com/dp/B07H52QDHY,0
159496162X,http://www.amazon.com/dp/159496162X,5
B01EVQW3EE,http://www.amazon.com/dp/B01EVQW3EE,0
B06XYY5C8H,http://www.amazon.com/dp/B06XYY5C8H,5
1610023501,http://www.amazon.com/dp/1610023501,0
B009MD6EM4,http://www.amazon.com/dp/B009MD6EM4,5
B005ZD6GTQ,http://www.amazon.com/dp/B005ZD6GTQ,0
B017610BFO,http://www.amazon.com/dp/B017610BFO,0
B07V1PTMSN,http://www.amazon.com/dp/B07V1PTMSN,1
B083HF4QRK,http://www.amazon.com/dp/B083HF4QRK,5
B07B2XMLT9,http://www.amazon.com/dp/B07B2XMLT9,1
B07ZKYP4V1,http://www.amazon.com/dp/B07ZKYP4V1,5
B001JF2QU2,http://www.amazon.com/dp/B001JF2QU2,5
B000052YE1,http://www.amazon.com/dp/B000052YE1,0
B00NMFP54Q,http://www.amazon.com/dp/B00NMFP54Q,5
B015G0EWLG,http://www.amazon.com/dp/B015G0EWLG,5
1535425717,http://www.amazon.com/dp/1535425717,5
B07SSQMQYS,http://www.amazon.com/dp/B07SSQMQYS,0
B07FDHF7PH,http://www.amazon.com/dp/B07FDHF7PH,5
B006U1220Y,http://www.amazon.com/dp/B006U1220Y,0
B004K6MM74,http://www.amazon.com/dp/B004K6MM74,5
B017USI7M2,http://www.amazon.com/dp/B017USI7M2,5
B072M54N3X,http://www.amazon.com/dp/B072M54N3X,0
B00LMM9HEK,http://www.amazon.com/dp/B00LMM9HEK,5
B077136HNY,http://www.amazon.com/dp/B077136HNY,0
B00WANRATE,http://www.amazon.com/dp/B00WANRATE,5
B00P9MZUMW,http://www.amazon.com/dp/B00P9MZUMW,0
1108420931,http://www.amazon.com/dp/1108420931,5
B001H9MYPW,http://www.amazon.com/dp/B001H9MYPW,5
B07D32VNLP,http://www.amazon.com/dp/B07D32VNLP,1
B07Q25DBC2,http://www.amazon.com/dp/B07Q25DBC2,5
B019WU426G,http://www.amazon.com/dp/B019WU426G,0
B07QKFR17K,http://www.amazon.com/dp/B07QKFR17K,3
B08636PTGM,http://www.amazon.com/dp/B08636PTGM,5
B005HN0VQS,http://www.amazon.com/dp/B005HN0VQS,5
B0858LDFBW,http://www.amazon.com/dp/B0858LDFBW,5
B07CL3VSRQ,http://www.amazon.com/dp/B07CL3VSRQ,5
B07K8QLGHN,http://www.amazon.com/dp/B07K8QLGHN,0
B000MRKAXI,http://www.amazon.com/dp/B000MRKAXI,0
B01HOHBWOY,http://www.amazon.com/dp/B01HOHBWOY,0
B07D4ZPJCP,http://www.amazon.com/dp/B07D4ZPJCP,5
B07ZWMBYYG,http://www.amazon.com/dp/B07ZWMBYYG,1
B00C702GJY,http://www.amazon.com/dp/B00C702GJY,-1
B07F29MHDV,http://www.amazon.com/dp/B07F29MHDV,1
B009LHFUQ2,http://www.amazon.com/dp/B009LHFUQ2,0
1608824942,http://www.amazon.com/dp/1608824942,1
1626361282,http://www.amazon.com/dp/1626361282,1
B07ZBP8QZZ,http://www.amazon.com/dp/B07ZBP8QZZ,1
B07ZY3NYKD,http://www.amazon.com/dp/B07ZY3NYKD,5
B00MG1WD5G,http://www.amazon.com/dp/B00MG1WD5G,5
B07H2RR8DB,http://www.amazon.com/dp/B07H2RR8DB,5
B06XXHV43C,http://www.amazon.com/dp/B06XXHV43C,5
B01HOWD11G,http://www.amazon.com/dp/B01HOWD11G,5
B0822KPWS8,http://www.amazon.com/dp/B0822KPWS8,5
0470053844,http://www.amazon.com/dp/0470053844,1
B00GBCWA0Y,http://www.amazon.com/dp/B00GBCWA0Y,5
B07JDQHSLN,http://www.amazon.com/dp/B07JDQHSLN,5
B0087GKGZS,http://www.amazon.com/dp/B0087GKGZS,5
B07WW9JLJD,http://www.amazon.com/dp/B07WW9JLJD,5
B085BW1TQQ,http://www.amazon.com/dp/B085BW1TQQ,5
B087BQ7GB4,http://www.amazon.com/dp/B087BQ7GB4,1
B07FQ6WK4J,http://www.amazon.com/dp/B07FQ6WK4J,3
B07T3P5DM1,http://www.amazon.com/dp/B07T3P5DM1,-1
B07DJR7F6H,http://www.amazon.com/dp/B07DJR7F6H,1
B00UNYX8NO,http://www.amazon.com/dp/B00UNYX8NO,0
B073YQPZVT,http://www.amazon.com/dp/B073YQPZVT,1
B00KBB1MU0,http://www.amazon.com/dp/B00KBB1MU0,5
B074JGY6KQ,http://www.amazon.com/dp/B074JGY6KQ,5
B07ZX173BW,http://www.amazon.com/dp/B07ZX173BW,5
B07L6LZJMQ,http://www.amazon.com/dp/B07L6LZJMQ,5
B07N32CXSZ,http://www.amazon.com/dp/B07N32CXSZ,0
B07DQ41473,http://www.amazon.com/dp/B07DQ41473,5
B004AI97MA,http://www.amazon.com/dp/B004AI97MA,0
B01NBA8DZF,http://www.amazon.com/dp/B01NBA8DZF,0
B00IYJTVXQ,http://www.amazon.com/dp/B00IYJTVXQ,0
B00X3X8E9K,http://www.amazon.com/dp/B00X3X8E9K,5
B07F2MHXS3,http://www.amazon.com/dp/B07F2MHXS3,-1
B07R1YDNS8,http://www.amazon.com/dp/B07R1YDNS8,5
1610020227,http://www.amazon.com/dp/1610020227,0
B00487P1EG,http://www.amazon.com/dp/B00487P1EG,0
B0745ZKDCB,http://www.amazon.com/dp/B0745ZKDCB,5
